director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,6.2
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,5.5
Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton,4.9
Warwick Thornton,Bryan Brown,Sam Neill,unknown,Drama History Western,sweet country,6.7
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller,the commuter,6.3
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,5.5
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,5.8
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,7.2
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,6.5
Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante,7.9
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower,7.1
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,Drama Action History War,12 strong,6
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,6.7
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,7.6
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Action Science Fiction,maze runner: the death cure,7.1
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,6.5
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,6.8
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Fantasy Mystery Thriller Horror,winchester,5.9
Sebastián Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman,7.1
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,4.6
Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Mystery Thriller Horror Science Fiction,the cloverfield paradox,5.6
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit,6.7
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,6.6
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Drama History Thriller,the 15:17 to paris,5.4
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,5.9
Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri,
Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Comedy Romance Drama,permission,5.1
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,,monster family,
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,6.1
Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Fantasy Science Fiction,black panther,7.4
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,6.1
Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Drama,loveless,6.5
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,the party,6.2
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia,5.6
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,6.6
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,5.7
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night,6.8
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Action Science Fiction Horror Mystery,annihilation,4.8
Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Drama Fantasy Romance,every day,7.2
David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,5.5
Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Drama Horror Romance Thriller,the lodgers,5
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow,6.5
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,6.1
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Drama Mystery,the vanishing of sidney hall,6.7
